CODIGO,DESCRICAO
441002016,FUNDO APOIO 401X77X15 MDP 2 IMBUIA DM
441002077,FUNDO APOIO 401X77X15 MDP 2 NATURE
441002116,FUNDO APOIO 401X77X15 MDP 2 CINAMOMO
441003001,SUPORTE MOLD 850X69X15 MDF 3 BRANCO
441003006,SUPORTE MOLD 850X69X15 MDF 3 OFF WHITE
441003016,SUPORTE MOLD 850X69X15 MDF 3 IMBUIA DM
441003077,SUPORTE MOLD 850X69X15 MDF 3 NATURE
441003116,SUPORTE MOLD 850X69X15 MDF 3 CINAMOMO
441004001,LAT DIR 335X305X15 MDP 4 BRANCO
441004006,LAT DIR 335X305X15 MDP 4 OFF WHITE
441004016,LAT DIR 335X305X15 MDP 4 IMBUIA DM
441004077,LAT DIR 335X305X15 MDP 4 NATURE
441004116,LAT DIR 335X305X15 MDP 4 CINAMOMO
441005001,LAT ESQ 335X305X15 MDP 5 BRANCO
441005006,LAT ESQ 335X305X15 MDP 5 OFF WHITE
441005016,LAT ESQ 335X305X15 MDP 5 IMBUIA DM
441005077,LAT ESQ 335X305X15 MDP 5 NATURE
441005116,LAT ESQ 335X305X15 MDP 5 CINAMOMO
441006001,PRAT 440X305X15 MDP 6 BRANCO
441006006,PRAT 440X305X15 MDP 6 OFF WHITE
441006016,PRAT 440X305X15 MDP 6 IMBUIA DM
441006077,PRAT 440X305X15 MDP 6 NATURE
441006116,PRAT 440X305X15 MDP 6 CINAMOMO
441007001,BASE 505X335X15 MDP 7 BRANCO
441007006,BASE 505X335X15 MDP 7 OFF WHITE
441007016,BASE 505X335X15 MDP 7 IMBUIA DM
441007077,BASE 505X335X15 MDP 7 NATURE
441007116,BASE 505X335X15 MDP 7 CINAMOMO
441009001,MOLD ESQ 1090X59X15 MDF 9 BRANCO
441009006,MOLD ESQ 1090X59X15 MDF 9 OFF WHITE
441009016,MOLD ESQ 1090X59X15 MDF 9 IMBUIA DM
441009077,MOLD ESQ 1090X59X15 MDF 9 NATURE
441009116,MOLD ESQ 1090X59X15 MDF 9 CINAMOMO
441010001,MOLD DIR 1090X59X15 MDF 10 BRANCO
441010006,MOLD DIR 1090X59X15 MDF 10 OFF WHITE
441010016,MOLD DIR 1090X59X15 MDF 10 IMBUIA DM
441010077,MOLD DIR 1090X59X15 MDF 10 NATURE
441010116,MOLD DIR 1090X59X15 MDF 10 CINAMOMO
441011100,TRAVA MOLDURA 337X30X15 MDP 11
441012001,FRENTE GAV 450X128X15 MDP 12 BRANCO
441012006,FRENTE GAV 450X128X15 MDP 12 OFF WHITE
441012016,FRENTE GAV 450X128X15 MDP 12 IMBUIA DM
441012077,FRENTE GAV 450X128X15 MDP 12 NATURE
441012116,FRENTE GAV 450X128X15 MDP 12 CINAMOMO
441013001,LAT GAV 300X90X12 MDP 13 BRANCO REAL
441015001,C F GAV 390X75X12 MDP 15 BRANCO REAL
442001001,LAT 1740X320X15 MDP 1 BRANCO
442001004,LAT 1740X320X15 MDP 1 ROSA
442001006,LAT 1740X320X15 MDP 1 OFF WHITE
442001070,LAT 1740X320X15 MDP 1 PRETO AC
442001077,LAT 1740X320X15 MDP 1 NATURE
442001083,LAT 1740X320X15 MDP 1 VERDE BELLAGIO
442001116,LAT 1740X320X15 MDP 1 CINAMOMO
442002001,TAMPO 600X318X15 MDP 2 BRANCO
442002004,TAMPO 600X318X15 MDP 2 ROSA
442002077,TAMPO 600X318X15 MDP 2 NATURE
442002083,TAMPO 600X318X15 MDP 2 VERDE BELLAGIO
442002116,TAMPO 600X318X15 MDP 2 CINAMOMO
442003001,PRAT 600X318X15 MDP 3 BRANCO
442003004,PRAT 600X318X15 MDP 3 ROSA
442003077,PRAT 600X318X15 MDP 3 NATURE
442003083,PRAT 600X318X15 MDP 3 VERDE BELLAGIO
442003116,PRAT 600X318X15 MDP 3 CINAMOMO
442004001,BASE 600X318X15 MDP 4 BRANCO
442004004,BASE 600X318X15 MDP 4 ROSA
442004077,BASE 600X318X15 MDP 4 NATURE
442004083,BASE 600X318X15 MDP 4 VERDE BELLAGIO
442004116,BASE 600X318X15 MDP 4 CINAMOMO
442005001,RODAP/MOLD 600X63X15 MDP 5 BRANCO
442005004,RODAP/MOLD 600X63X15 MDP 5 ROSA
442005006,RODAP/MOLD 600X63X15 MDP 5 OFF WHITE
442005070,RODAP/MOLD 600X63X15 MDP 5 PRETO AC
442005077,RODAP/MOLD 600X63X15 MDP 5 NATURE
442005083,RODAP/MOLD 600X63X15 MDP 5 VERDE BELLAGIO
442005116,RODAP/MOLD 600X63X15 MDP 5 CINAMOMO
447001001,TAMPO 1250X450X25 MDP 1 BRANCO
447001070,TAMPO 1250X450X25 MDP 1 PTO AC
447001077,TAMPO 1250X450X25 MDP 1 NATURE
447001116,TAMPO 1250X450X25 MDP 1 CINAMOMO
447002001,LAT ESQ 670X430X15 MDP 2 BRANCO
447002006,LAT ESQ 670X430X15 MDP 2 OFF WHITE
447002070,LAT ESQ 670X430X15 MDP 2 PTO AC
447002077,LAT ESQ 670X430X15 MDP 2 NATURE
